iter	Passed	Remaining
0	5	528
1	9	459
2	12	407
3	16	391
4	23	440
5	26	410
6	28	378
7	32	374
8	35	356
9	37	338
10	39	319
11	41	301
12	42	286
13	44	272
14	46	264
15	48	255
16	51	249
17	52	240
18	54	231
19	56	224
20	57	217
21	59	210
22	62	208
23	64	203
24	66	198
25	67	193
26	69	187
27	71	182
28	72	178
29	74	173
30	77	173
31	79	169
32	81	165
33	83	161
34	84	157
35	86	153
36	88	150
37	89	146
38	94	147
39	96	144
40	98	141
41	99	136
42	100	133
43	102	130
44	104	128
45	107	126
46	109	123
47	111	120
48	113	118
49	115	115
50	117	112
51	119	110
52	122	108
53	124	106
54	125	102
55	127	100
56	129	97
57	131	95
58	133	92
59	135	90
60	138	88
61	140	85
62	142	83
63	143	80
64	145	78
65	149	76
66	152	74
67	153	72
68	155	69
69	157	67
70	159	65
71	161	62
72	164	60
73	166	58
74	169	56
75	170	53
76	172	51
77	174	49
78	176	47
79	178	44
80	180	42
81	181	39
82	184	37
83	185	35
84	187	33
85	189	30
86	191	28
87	192	26
88	194	24
89	196	21
90	198	19
91	199	17
92	201	15
93	203	12
94	205	10
95	206	8
96	208	6
97	210	4
98	211	2
99	213	0
